occur_date,location,depth,magnitude,max_seismic_scale
1923/9/1 11:58,land,23,7.9,6_upper
1924/1/15 5:50,land,0,7.3,6_upper
1925/5/23 11:09,land,0,6.8,6_upper
1927/3/7 18:27,land,18,7.3,6_upper
1930/11/26 4:02,land,1,7.3,6_upper
1935/7/11 17:24,land,10,6.4,6_upper
1941/7/15 23:45,land,5,6.1,6_upper
1943/9/10 17:36,land,0,7.2,6_upper
1944/12/7 13:35,sea,40,7.9,6_upper
1948/6/28 16:13,land,0,7.1,6_upper
1972/12/4 19:16,sea,54,7.2,6_upper
1982/3/21 11:32,sea,40,7.1,6_upper
1993/1/15 20:06,sea,101,7.5,6_upper
1994/10/4 22:22,sea,28,8.2,6_upper
1994/12/28 21:19,sea,0,7.6,6_upper
1995/1/17 5:46,sea,16,7.3,7
1997/3/16 14:51,land,39,5.9,5_upper
1997/3/26 17:31,land,12,6.6,5_upper
1997/4/3 4:33,land,15,5.7,5_upper
1997/5/13 14:38,land,9,6.4,6_lower
1997/6/25 18:50,land,8,6.6,5_upper
1998/9/3 16:58,land,8,6.2,6_lower
2000/7/1 16:01,sea,16,6.5,6_lower
2000/7/9 3:57,sea,15,6.1,6_lower
2000/7/15 10:30,sea,10,6.3,6_lower
2000/7/20 2:32,sea,7,5.1,5_upper
2000/7/24 6:52,sea,12,5.7,5_upper
2000/7/27 10:49,sea,13,5.8,5_upper
2000/7/30 9:18,sea,11,6,5_upper
2000/7/30 21:25,sea,17,6.5,6_lower
2000/7/30 21:48,sea,17,5.9,5_upper
2000/8/3 17:00,sea,13,5,5_upper
2000/8/3 22:18,sea,13,5.4,5_upper
2000/8/18 10:52,sea,12,6.1,6_lower
2000/8/18 12:49,sea,7,5.1,6_lower
2000/10/2 16:44,sea,25,5.9,5_upper
2000/10/6 13:30,land,9,7.3,6_upper
2001/3/24 15:27,land,46,6.7,6_lower
2001/3/26 5:40,land,46,5.2,5_upper
2001/4/3 23:57,land,30,5.3,5_upper
2001/12/9 5:29,sea,36,6,5_upper
2003/5/26 18:24,sea,72,7.1,6_lower
2003/7/26 0:13,land,12,5.6,6_lower
2003/7/26 7:13,land,12,6.4,6_upper
2003/7/26 16:56,land,12,5.5,6_lower
2003/9/26 4:50,sea,45,8,6_lower
2003/9/26 6:08,sea,21,7.1,6_lower
2004/10/23 17:56,land,13,6.8,7
2004/10/23 17:59,land,16,5.3,5_upper
2004/10/23 18:03,land,9,6.3,5_upper
2004/10/23 18:07,land,15,5.7,5_upper
2004/10/23 18:11,land,12,6,6_upper
2004/10/23 18:34,land,14,6.5,6_upper
2004/10/23 18:57,land,8,5.3,5_upper
2004/10/23 19:45,land,12,5.7,6_lower
2004/10/24 14:21,land,11,5,5_upper
2004/10/25 6:04,land,15,5.8,5_upper
2004/10/27 10:40,land,12,6.1,6_lower
2004/11/4 8:57,land,18,5.2,5_upper
2004/11/8 11:15,land,0,5.9,5_upper
2004/11/29 3:32,sea,48,7.1,5_upper
2004/12/6 23:15,sea,46,6.9,5_upper
2004/12/14 14:56,land,9,6.1,5_upper
2005/1/18 23:09,sea,50,6.4,5_upper
2005/3/20 10:53,sea,9,7,6_lower
2005/4/11 7:22,land,52,6.1,5_upper
2005/4/20 6:11,sea,14,5.8,5_upper
2005/7/23 16:34,land,73,6,5_upper
2005/8/16 11:46,sea,42,7.2,6_lower
2005/8/21 11:29,land,17,5,5_upper
2007/3/25 9:41,sea,11,6.9,6_upper
2007/4/15 12:19,land,16,5.4,5_upper
2007/7/16 10:13,sea,17,6.8,6_upper
2007/7/16 15:37,sea,23,5.8,6_lower
2007/10/1 2:21,land,13,4.9,5_upper
2008/6/14 8:43,land,8,7.2,6_upper
2008/7/24 0:26,land,108,6.8,6_lower
2009/8/11 5:07,sea,23,6.5,6_lower
2011/1/1 8:01,sea,49,4.7,3
2011/1/2 9:42,land,17,3.9,3
2011/1/3 13:45,sea,12,4.7,4
2011/1/7 18:05,land,16,3.9,3
2011/1/12 1:01,sea,48,4.2,3
2011/1/16 20:33,land,44,4.5,3
2011/1/17 16:13,sea,58,4.2,3
2011/1/20 22:20,land,14,3.7,3
2011/1/28 22:48,land,6,3.6,3
2011/1/31 17:21,sea,9,4.2,4
2011/2/3 22:06,sea,6,2.9,3
2011/2/4 18:11,sea,31,4.7,3
2011/2/4 20:15,sea,72,5,3
2011/2/5 10:56,sea,64,5.2,4
2011/2/6 7:25,land,11,3.7,3
2011/2/7 4:40,sea,137,4.4,3
2011/2/10 22:03,sea,48,5.4,4
2011/2/19 22:04,sea,32,4,3
2011/2/21 15:46,land,53,4.8,4
2011/2/26 4:12,sea,56,5,3
2011/2/27 0:38,sea,43,5.2,3
2011/2/27 2:18,land,4,5,4
2011/2/27 5:38,land,4,5.5,4
2011/2/27 9:48,land,5,3.7,3
2011/2/27 21:46,land,6,4,3
2011/2/28 4:03,land,5,3.9,3
2011/2/28 9:04,land,34,4.6,3
2011/3/2 8:26,sea,25,4.9,3
2011/3/7 18:49,sea,29,4.5,3
2011/3/7 19:13,sea,27,5.1,3
2011/3/9 11:45,sea,8,7.3,5_lower
2011/3/9 11:58,sea,21,6,3
2011/3/9 13:36,sea,11,6.1,3
2011/3/10 3:16,sea,29,6.4,3
2011/3/10 3:44,sea,36,6.3,3
2011/3/10 6:24,sea,9,6.8,4
2011/3/11 3:13,land,5,3.4,3
2011/3/11 14:46,sea,24,9,7
2011/3/11 14:50,sea,10,4.7,4
2011/3/11 14:51,sea,33,6.8,5_lower
2011/3/11 14:54,sea,34,6.1,5_lower
2011/3/11 14:55,sea,55,6,3
2011/3/11 14:57,sea,22,5.2,4
2011/3/11 14:57,land,2,4.7,4
2011/3/11 14:58,sea,35,6.6,5_lower
2011/3/11 15:01,land,6,4.5,3
2011/3/11 15:03,sea,17,6,3
2011/3/11 15:05,sea,22,5.9,4
2011/3/11 15:06,sea,29,6.5,5_lower
2011/3/11 15:07,sea,20,6.5,4
2011/3/11 15:08,land,6,4.6,5_lower
2011/3/11 15:08,sea,32,7.4,5_lower
2011/3/11 15:11,land,6,5.5,4
2011/3/11 15:12,sea,39,6.7,5_lower
2011/3/11 15:13,land,3,3.6,3
2011/3/11 15:13,sea,40,5.8,3
2011/3/11 15:15,sea,43,7.6,6_upper
2011/3/11 15:18,sea,41,4.7,5_lower
2011/3/11 15:18,land,1,NA,3
2011/3/11 15:19,sea,33,5.7,4
2011/3/11 15:20,sea,34,5.8,4
2011/3/11 15:20,sea,62,5.7,3
2011/3/11 15:21,sea,6,6.2,3
2011/3/11 15:22,sea,42,4.6,3
2011/3/11 15:23,sea,31,6.1,4
2011/3/11 15:25,sea,11,7.5,4
2011/3/11 15:25,sea,40,4.6,3
2011/3/11 15:28,sea,25,5.2,3
2011/3/11 15:29,sea,15,6.9,3
2011/3/11 15:31,sea,16,5.7,3
2011/3/11 15:33,sea,40,6.4,3
2011/3/11 15:34,sea,39,5.5,3
2011/3/11 15:35,sea,38,5.1,4
2011/3/11 15:36,sea,16,5.1,3
2011/3/11 15:37,sea,33,4.8,3
2011/3/11 15:38,sea,24,5.6,3
2011/3/11 15:40,sea,48,5.9,4
2011/3/11 15:42,sea,9,6.2,3
2011/3/11 15:44,sea,40,5.4,4
2011/3/11 15:46,sea,38,5.6,4
2011/3/11 15:48,sea,42,4.5,3
2011/3/11 15:48,sea,43,5.2,3
2011/3/11 15:49,sea,23,5.6,3
2011/3/11 15:49,sea,7,5.9,4
2011/3/11 15:54,sea,48,5.2,3
2011/3/11 15:55,sea,79,5.4,3
2011/3/11 15:57,sea,28,6.2,4
2011/3/11 16:01,sea,38,5,3
2011/3/11 16:03,sea,23,5.8,3
2011/3/11 16:04,sea,24,5.7,4
2011/3/11 16:05,sea,27,5.7,4
2011/3/11 16:06,sea,8,3.6,3
2011/3/11 16:09,sea,37,5.5,3
2011/3/11 16:10,sea,27,6.2,3
2011/3/11 16:13,sea,50,5.8,3
2011/3/11 16:14,sea,25,6.8,4
2011/3/11 16:16,sea,48,5.3,3
2011/3/11 16:17,sea,20,6.5,4
2011/3/11 16:20,sea,0,3.9,3
2011/3/11 16:25,sea,40,6.2,3
2011/3/11 16:28,sea,39,5.6,4
2011/3/11 16:29,sea,17,6.6,5_upper
2011/3/11 16:30,sea,27,5.9,5_lower
2011/3/11 16:31,sea,39,5.4,3
2011/3/11 16:34,land,16,4.2,3
2011/3/11 16:34,sea,13,5.7,3
2011/3/11 16:37,sea,42,5,3
2011/3/11 16:38,sea,16,5.8,4
2011/3/11 16:40,sea,28,5.3,3
2011/3/11 16:42,sea,37,5.4,3
2011/3/11 16:44,sea,60,5.6,4
2011/3/11 16:45,sea,41,5,3
2011/3/11 16:49,sea,34,5.5,3
2011/3/11 16:54,sea,27,4.9,3
2011/3/11 16:54,sea,35,5.5,3
2011/3/11 16:56,sea,11,6.2,3
2011/3/11 17:00,sea,34,4.4,3
2011/3/11 17:01,sea,17,5.5,3
2011/3/11 17:03,sea,23,5.3,3
2011/3/11 17:04,sea,19,5.9,3
2011/3/11 17:10,sea,37,5.5,3
2011/3/11 17:12,sea,32,6.6,4
2011/3/11 17:15,sea,27,4.4,3
2011/3/11 17:19,sea,28,4.9,3
2011/3/11 17:19,sea,36,6.8,4
2011/3/11 17:27,sea,43,5.1,3
2011/3/11 17:27,sea,30,6.2,3
2011/3/11 17:31,sea,31,5.9,4
2011/3/11 17:32,sea,12,6,3
2011/3/11 17:35,sea,37,5.2,4
2011/3/11 17:40,land,4,4.2,3
2011/3/11 17:40,sea,30,6,5_upper
2011/3/11 17:46,sea,15,5.9,3
2011/3/11 17:47,sea,41,5.1,3
2011/3/11 17:50,sea,43,4,3
2011/3/11 17:52,sea,0,5.6,3
2011/3/11 17:54,sea,40,5,3
2011/3/11 17:56,sea,28,4.2,3
2011/3/11 17:56,sea,32,4.1,3
2011/3/11 17:58,land,3,4.1,4
2011/3/11 18:04,sea,17,5.3,4
2011/3/11 18:11,sea,41,4.6,3
2011/3/11 18:15,sea,35,4.8,3
2011/3/11 18:16,land,7,5.1,3
2011/3/11 18:19,sea,15,5,4
2011/3/11 18:26,sea,23,4.1,3
2011/3/11 18:27,sea,36,5.4,3
2011/3/11 18:33,sea,40,4.5,3
2011/3/11 18:34,sea,46,4.8,3
2011/3/11 18:37,sea,31,5.3,3
2011/3/11 18:42,sea,24,5.6,3
2011/3/11 18:44,sea,14,3.6,3
2011/3/11 18:46,sea,28,5.7,3
2011/3/11 18:52,sea,32,4.9,3
2011/3/11 18:55,sea,0,5.4,3
2011/3/11 18:57,sea,48,4.3,3
2011/3/11 19:09,land,9,4,3
2011/3/11 19:10,sea,31,4.7,3
2011/3/11 19:10,sea,44,6.2,4
2011/3/11 19:13,sea,46,5.3,3
2011/3/11 19:15,sea,36,4.6,3
2011/3/11 19:20,sea,12,5.8,3
2011/3/11 19:35,sea,49,5.1,4
2011/3/11 19:38,land,2,3.6,3
2011/3/11 19:40,land,4,3.5,3
2011/3/11 19:46,sea,47,4.8,3
2011/3/11 19:58,sea,32,4.9,4
2011/3/11 20:00,sea,46,5.5,4
2011/3/11 20:07,sea,48,4.3,3
2011/3/11 20:10,land,5,3.5,3
2011/3/11 20:16,sea,43,5.5,3
2011/3/11 20:21,sea,39,5.6,4
2011/3/11 20:28,sea,35,5.2,3
2011/3/11 20:30,sea,0,5.7,3
2011/3/11 20:31,land,9,5.2,4
2011/3/11 20:36,sea,24,6.7,5_lower
2011/3/11 20:39,sea,25,5.8,4
2011/3/11 20:42,sea,16,5.7,3
2011/3/11 20:46,sea,41,5.4,3
2011/3/11 20:57,sea,29,5.3,4
2011/3/11 21:13,sea,26,6.2,4
2011/3/11 21:15,sea,23,5.9,4
2011/3/11 21:21,sea,23,4.9,4
2011/3/11 21:33,sea,10,5.1,3
2011/3/11 21:54,sea,39,5.1,3
2011/3/11 21:56,sea,29,5.3,3
2011/3/11 22:09,land,3,3.4,3
2011/3/11 22:09,sea,46,4.1,3
2011/3/11 22:15,sea,26,5.2,3
2011/3/11 22:16,sea,28,5.7,3
2011/3/11 22:29,sea,51,3.8,3
2011/3/11 22:33,sea,34,4.5,4
2011/3/11 22:36,sea,31,4.6,3
2011/3/11 22:47,sea,50,4.7,4
2011/3/11 22:56,sea,46,5.3,3
2011/3/11 23:00,sea,43,5.4,4
2011/3/11 23:10,sea,31,5.2,3
2011/3/11 23:26,sea,43,4.8,3
2011/3/11 23:28,sea,42,4.9,3
2011/3/11 23:44,sea,47,4.9,4
2011/3/11 23:56,sea,31,5.8,3
2011/3/12 0:07,sea,41,5.4,3
2011/3/12 0:11,land,2,3.8,3
2011/3/12 0:13,sea,23,6.7,4
2011/3/12 0:15,sea,17,4.9,3
2011/3/12 0:19,sea,18,5.7,3
2011/3/12 0:24,land,6,4.5,4
2011/3/12 0:42,sea,16,5.5,3
2011/3/12 0:57,sea,49,4.1,3
2011/3/12 1:05,sea,45,4.4,3
2011/3/12 1:06,sea,49,4.3,3
2011/3/12 2:14,sea,26,5,3
2011/3/12 2:30,sea,51,4.5,3
2011/3/12 2:30,sea,18,5,4
2011/3/12 2:56,sea,30,4.4,4
2011/3/12 3:11,sea,26,6,3
2011/3/12 3:39,sea,31,4.4,3
2011/3/12 3:44,sea,47,5,4
2011/3/12 3:59,land,8,6.7,6_upper
2011/3/12 4:01,land,1,3.9,4
2011/3/12 4:02,land,9,3.2,3
2011/3/12 4:02,sea,9,6.3,4
2011/3/12 4:03,land,9,4.1,4
2011/3/12 4:04,land,8,3.8,3
2011/3/12 4:06,land,11,3.4,3
2011/3/12 4:08,sea,35,5.2,4
2011/3/12 4:09,land,9,4.5,4
2011/3/12 4:10,land,0,4.2,4
2011/3/12 4:11,land,6,3.7,3
2011/3/12 4:12,land,12,4.3,4
2011/3/12 4:15,land,0,3.6,3
2011/3/12 4:16,land,12,3.6,3
2011/3/12 4:16,sea,29,4,3
2011/3/12 4:21,land,13,3.7,3
2011/3/12 4:24,sea,35,5.7,4
2011/3/12 4:26,land,11,3.7,3
2011/3/12 4:27,land,10,3.4,3
2011/3/12 4:31,land,0,3.1,4
2011/3/12 4:31,land,1,5.9,6_lower
2011/3/12 4:34,land,0,3.6,3
2011/3/12 4:36,land,10,3.4,3
2011/3/12 4:42,land,0,3.2,3
2011/3/12 4:44,land,0,4.2,4
2011/3/12 4:45,sea,26,5.2,4
2011/3/12 4:46,land,14,4.1,4
2011/3/12 4:46,sea,4,6.4,4
2011/3/12 4:49,land,2,3.9,4
2011/3/12 4:56,land,11,3.4,3
2011/3/12 4:57,land,0,3.8,3
2011/3/12 5:03,land,9,3.8,3
2011/3/12 5:08,sea,28,4.8,3
2011/3/12 5:10,sea,27,4.1,3
2011/3/12 5:11,sea,6,6.4,3
2011/3/12 5:20,land,7,3.6,3
2011/3/12 5:26,sea,44,4.9,3
2011/3/12 5:34,sea,49,5.1,3
2011/3/12 5:36,land,6,3.6,3
2011/3/12 5:41,land,3,3.2,3
2011/3/12 5:41,land,5,3,3
2011/3/12 5:42,land,4,5.3,6_lower
2011/3/12 5:50,land,6,3,3
2011/3/12 5:57,land,12,3,3
2011/3/12 6:00,sea,12,5.5,3
2011/3/12 6:11,land,7,3.7,4
2011/3/12 6:19,land,0,3.7,3
2011/3/12 6:25,land,7,2.8,3
2011/3/12 6:27,land,2,3,3
2011/3/12 6:29,sea,33,4.7,3
2011/3/12 6:30,land,3,3.1,4
2011/3/12 6:34,sea,23,4.8,4
2011/3/12 6:34,land,7,3.5,3
2011/3/12 6:48,sea,11,4.6,3
2011/3/12 6:55,land,14,4.4,3
2011/3/12 7:01,land,4,3.9,4
2011/3/12 7:14,land,10,4.2,4
2011/3/12 7:18,land,7,3.8,4
2011/3/12 7:36,sea,25,4.4,3
2011/3/12 8:05,sea,47,4.9,3
2011/3/12 8:11,land,10,4.6,4
2011/3/12 8:25,land,8,3.4,3
2011/3/12 8:32,land,5,3.7,4
2011/3/12 8:53,sea,37,5.1,3
2011/3/12 8:54,sea,40,5,3
2011/3/12 8:57,land,6,3.4,3
2011/3/12 8:59,sea,28,5.5,3
2011/3/12 9:25,sea,23,4.8,3
2011/3/12 9:28,land,6,2.8,3
2011/3/12 9:39,sea,16,4.7,3
2011/3/12 10:04,sea,58,4.8,3
2011/3/12 10:12,land,11,4.8,3
2011/3/12 10:13,sea,30,4.9,4
2011/3/12 10:17,sea,49,4.5,3
2011/3/12 10:32,land,8,3.8,3
2011/3/12 10:34,sea,0,6.2,3
2011/3/12 10:42,land,6,3.7,4
2011/3/12 10:47,sea,0,6.8,4
2011/3/12 11:19,land,7,3,3
2011/3/12 11:30,sea,46,4.7,3
2011/3/12 11:34,sea,46,5.2,3
2011/3/12 11:43,sea,28,4.9,3
2011/3/12 11:52,sea,16,5.1,3
2011/3/12 12:01,sea,11,5.6,3
2011/3/12 12:11,sea,37,5.6,3
2011/3/12 12:40,land,6,3.2,3
2011/3/12 12:54,sea,16,5,3
2011/3/12 13:06,sea,40,5.3,4
2011/3/12 13:43,land,7,3.5,3
2011/3/12 14:14,land,10,4.8,3
2011/3/12 14:45,sea,30,4.4,3
2011/3/12 14:50,land,4,3.4,3
2011/3/12 14:55,land,7,4.2,4
2011/3/12 15:18,sea,44,5.5,4
2011/3/12 15:39,sea,48,4.1,3
2011/3/12 15:44,sea,43,4.7,3
2011/3/12 15:57,sea,25,3.9,3
2011/3/12 18:36,land,9,3.3,3
2011/3/12 18:39,sea,11,4.4,3
2011/3/12 19:08,land,5,3.6,4
2011/3/12 19:53,sea,20,5.8,4
2011/3/12 20:46,sea,26,5.5,3
2011/3/12 21:02,sea,16,4.6,3
2011/3/12 21:34,sea,49,3.9,3
2011/3/12 21:53,sea,2,5.9,3
2011/3/12 22:05,land,6,2.6,3
2011/3/12 22:14,sea,35,4.6,3
2011/3/12 22:15,sea,40,6.2,5_lower
2011/3/12 22:24,sea,30,5,3
2011/3/12 22:27,land,0,3.6,3
2011/3/12 23:03,sea,7,5.8,3
2011/3/12 23:14,sea,11,5,3
2011/3/12 23:34,land,5,3.7,5_lower
2011/3/12 23:34,sea,22,5.6,3
2011/3/12 23:43,sea,9,5.9,4
2011/3/12 23:51,land,4,2.4,3
2011/3/12 23:54,land,5,2.3,3
2011/3/13 0:44,land,5,3.8,3
2011/3/13 1:59,sea,29,4.6,3
2011/3/13 3:09,sea,28,4.5,4
2011/3/13 3:47,land,8,3.2,3
2011/3/13 5:41,sea,41,4.7,3
2011/3/13 6:48,sea,0,5.6,3
2011/3/13 6:58,sea,14,5.4,3
2011/3/13 7:12,sea,9,6.1,3
2011/3/13 7:31,sea,24,5.4,3
2011/3/13 7:59,sea,40,4.3,3
2011/3/13 8:20,sea,3,5.3,3
2011/3/13 8:24,sea,15,6.2,5_lower
2011/3/13 8:40,sea,4,5,3
2011/3/13 9:32,sea,12,4.7,3
2011/3/13 9:41,sea,35,4.6,3
2011/3/13 10:26,sea,11,6.6,4
2011/3/13 12:09,land,25,3.6,3
2011/3/13 12:31,land,0,3.7,3
2011/3/13 12:32,land,9,3.8,4
2011/3/13 12:34,land,0,3.6,3
2011/3/13 14:55,sea,38,4.9,3
2011/3/13 14:59,sea,43,4.7,3
2011/3/13 15:19,sea,44,4.3,3
2011/3/13 16:56,sea,6,5.8,3
2011/3/13 18:25,sea,10,5.5,3
2011/3/13 18:52,sea,42,5.6,3
2011/3/13 20:37,sea,2,6.1,3
2011/3/13 20:56,sea,32,4.8,3
2011/3/13 21:44,sea,26,4.8,3
2011/3/13 22:43,sea,26,4.8,3
2011/3/13 23:27,land,6,3.6,4
2011/3/13 23:28,sea,43,4.4,3
2011/3/14 0:10,sea,36,5.1,3
2011/3/14 2:04,sea,25,4.5,3
2011/3/14 2:29,sea,32,4.8,3
2011/3/14 3:45,sea,29,4.8,3
2011/3/14 4:16,sea,13,4.9,3
2011/3/14 4:27,sea,28,4.1,3
2011/3/14 7:16,sea,36,4.4,3
2011/3/14 7:46,land,7,3.1,3
2011/3/14 8:41,sea,49,4.6,3
2011/3/14 8:42,sea,43,4.3,3
2011/3/14 8:47,land,3,3.1,3
2011/3/14 8:53,sea,35,4.9,3
2011/3/14 10:02,sea,32,6.2,5_lower
2011/3/14 11:11,sea,40,4.5,3
2011/3/14 12:10,land,0,3.5,3
2011/3/14 13:45,sea,40,4.7,3
2011/3/14 15:12,sea,7,6.5,4
2011/3/14 15:17,sea,4,5.3,4
2011/3/14 15:38,land,4,3.5,4
2011/3/14 15:43,sea,19,5.2,3
2011/3/14 15:52,sea,52,5.2,4
2011/3/14 15:56,sea,52,4.2,3
2011/3/14 16:25,sea,45,5,3
2011/3/14 18:07,sea,32,4.8,3
2011/3/14 20:06,sea,32,4.8,3
2011/3/15 0:26,sea,50,3.9,3
2011/3/15 1:11,sea,51,4.5,3
2011/3/15 3:35,sea,39,4.3,3
2011/3/15 3:41,sea,44,5.7,3
2011/3/15 4:04,sea,37,4.5,3
2011/3/15 4:28,sea,51,5,3
2011/3/15 4:29,sea,43,5.1,3
2011/3/15 4:59,sea,23,4.1,3
2011/3/15 5:40,land,9,2.9,3
2011/3/15 7:04,sea,36,4.8,3
2011/3/15 7:20,land,0,4.5,3
2011/3/15 7:29,land,9,4.3,3
2011/3/15 9:54,land,8,3.8,3
2011/3/15 10:41,land,4,2.1,3
2011/3/15 13:55,sea,49,4.5,3
2011/3/15 15:32,land,8,3.8,3
2011/3/15 15:56,land,0,4.7,3
2011/3/15 16:03,land,0,4.9,3
2011/3/15 16:48,sea,28,4.4,3
2011/3/15 18:41,sea,9,4.3,3
2011/3/15 18:49,sea,7,6.3,3
2011/3/15 19:31,land,47,4.5,3
2011/3/15 20:06,sea,15,5.2,3
2011/3/15 22:10,sea,49,4.2,3
2011/3/15 22:27,sea,10,6.2,4
2011/3/15 22:31,land,14,6.4,6_upper
2011/3/15 22:34,land,13,3.7,3
2011/3/15 22:35,land,11,4.1,3
2011/3/15 22:37,land,16,3.8,3
2011/3/15 22:37,sea,30,5.3,3
2011/3/15 22:40,land,12,3.7,3
2011/3/15 22:40,land,10,4.2,4
2011/3/15 22:43,land,11,3.9,3
2011/3/16 0:23,sea,18,6.3,3
2011/3/16 0:39,land,7,3.4,3
2011/3/16 2:14,land,7,3,3
2011/3/16 3:19,sea,49,4.1,3
2011/3/16 3:33,land,7,4,4
2011/3/16 4:01,sea,18,5.6,3
2011/3/16 4:53,sea,25,5.1,3
2011/3/16 5:27,land,5,2.9,3
2011/3/16 5:30,sea,24,5.8,3
2011/3/16 5:53,land,28,4.2,3
2011/3/16 6:04,land,0,4.8,3
2011/3/16 6:15,land,13,3.6,3
2011/3/16 8:40,land,7,3.8,3
2011/3/16 9:22,sea,46,4.3,3
2011/3/16 10:08,sea,39,4.2,3
2011/3/16 10:44,land,7,3.3,3
2011/3/16 12:52,sea,10,6.1,5_lower
2011/3/16 12:53,sea,20,4.4,3
2011/3/16 13:14,sea,25,5.6,4
2011/3/16 13:17,sea,12,4.8,3
2011/3/16 15:29,sea,41,5.7,3
2011/3/16 18:15,sea,46,4.5,3
2011/3/16 20:20,sea,35,4.9,3
2011/3/16 20:44,sea,46,4.5,3
2011/3/16 22:39,land,53,5.4,4
2011/3/16 22:54,sea,29,4.6,3
2011/3/16 23:46,sea,54,5.3,4
2011/3/17 3:56,land,6,4.4,3
2011/3/17 4:00,sea,45,4.5,3
2011/3/17 6:16,land,12,3.9,3
2011/3/17 7:05,sea,40,4.5,3
2011/3/17 8:11,land,6,3.3,3
2011/3/17 8:38,sea,22,5.5,3
2011/3/17 13:13,sea,31,5.9,4
2011/3/17 17:25,sea,17,5.4,3
2011/3/17 17:44,sea,23,4.7,3
2011/3/17 17:59,sea,29,5,3
2011/3/17 18:05,sea,31,4.8,3
2011/3/17 20:48,sea,29,4.3,3
2011/3/17 21:32,sea,28,5.7,4
2011/3/17 21:33,sea,27,4.9,3
2011/3/17 21:35,sea,45,4.9,3
2011/3/17 21:54,sea,47,5.7,4
2011/3/18 2:00,land,3,3.4,3
2011/3/18 3:38,sea,30,4.7,3
2011/3/18 6:18,sea,34,4.4,3
2011/3/18 6:24,sea,32,4.7,3
2011/3/18 9:41,sea,28,5.4,3
